Arguments are...
log_dir: ./test_run
sdf_dir: data/intra_gsm_clean
split_path: data/intra_gsm_clean/splits/split0.npy
n_epochs: 100
warmup_epochs: 2
batch_size: 64
mini_batch: 4
lr: 0.001
num_workers: 2
hidden_dim: 100
depth: 3
n_layers: 2
optimizer: adam
scheduler: plateau
verbose: True

Model parameters are:
node_dim: 26
edge_dim: 2
hidden_dim: 100
depth: 3
n_layers: 2


Optimizer parameters are:
Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
)

Scheduler state dict is:
factor: 0.7
min_lrs: [1e-05]
patience: 5
verbose: False
cooldown: 0
cooldown_counter: 0
mode: min
threshold: 0.0001
threshold_mode: rel
best: inf
num_bad_epochs: 0
mode_worse: inf
eps: 1e-08
last_epoch: 0

Starting training...
Parameter Norm: 44.03821010840034	 Gradient Norm: 10.00000278089395	 Loss: 2.4383692741394043
Parameter Norm: 44.103955123032996	 Gradient Norm: 1.4361632840700735	 Loss: 0.2861618399620056
Parameter Norm: 44.10755809059236	 Gradient Norm: 2.6971885553594004	 Loss: 0.2948038578033447
Parameter Norm: 44.11091447588043	 Gradient Norm: 5.428746021012447	 Loss: 0.30548325181007385
Parameter Norm: 44.11378158152754	 Gradient Norm: 2.6758632774325544	 Loss: 0.2818908989429474
Parameter Norm: 44.11654366668884	 Gradient Norm: 2.4943171292810304	 Loss: 0.25822654366493225
Parameter Norm: 44.11917680398442	 Gradient Norm: 4.256727318248236	 Loss: 0.25720205903053284
Parameter Norm: 44.12187299685063	 Gradient Norm: 2.7829354522480996	 Loss: 0.2657858729362488
Parameter Norm: 44.12448710415919	 Gradient Norm: 3.160097200198137	 Loss: 0.26346099376678467
Parameter Norm: 44.12679825869005	 Gradient Norm: 4.783874312435218	 Loss: 0.2600161135196686
Parameter Norm: 44.128806462008235	 Gradient Norm: 2.1476495573910106	 Loss: 0.22561655938625336
Parameter Norm: 44.13067903522023	 Gradient Norm: 3.03092408131902	 Loss: 0.21560782194137573
Parameter Norm: 44.13264288930665	 Gradient Norm: 3.9390373589572145	 Loss: 0.23611237108707428
Parameter Norm: 44.13478401549771	 Gradient Norm: 6.4729238472909465	 Loss: 0.24838203191757202
Parameter Norm: 44.1371206328721	 Gradient Norm: 1.6602243298356838	 Loss: 0.22356663644313812
Parameter Norm: 44.139451345854255	 Gradient Norm: 3.3397257495174784	 Loss: 0.20599184930324554
Parameter Norm: 44.141600174486534	 Gradient Norm: 6.370004263561346	 Loss: 0.24845419824123383
Parameter Norm: 44.143317229574194	 Gradient Norm: 7.420367984508194	 Loss: 0.2478003352880478
Parameter Norm: 44.14464790009395	 Gradient Norm: 1.4860829412276342	 Loss: 0.19811749458312988
Parameter Norm: 44.146012931142614	 Gradient Norm: 8.435030591798137	 Loss: 0.19648724794387817
Parameter Norm: 44.147776204026556	 Gradient Norm: 2.054361993991181	 Loss: 0.24069760739803314
Parameter Norm: 44.14966035991518	 Gradient Norm: 9.999999830070854	 Loss: 0.17578834295272827
Parameter Norm: 44.15188400956454	 Gradient Norm: 4.1407405208107315	 Loss: 0.195722758769989
Parameter Norm: 44.15439169879622	 Gradient Norm: 3.44748487421105	 Loss: 0.19217073917388916
Parameter Norm: 44.15675423612079	 Gradient Norm: 9.99999889357416	 Loss: 0.20351335406303406
Parameter Norm: 44.159150348399436	 Gradient Norm: 2.4088590864849166	 Loss: 0.20465759932994843
Parameter Norm: 44.16169682186946	 Gradient Norm: 3.4649137216637813	 Loss: 0.2176727056503296
Parameter Norm: 44.164237968601434	 Gradient Norm: 3.862979903958636	 Loss: 0.2258075326681137
Parameter Norm: 44.16674264778102	 Gradient Norm: 2.67143550859838	 Loss: 0.21260744333267212
Parameter Norm: 44.16924038299237	 Gradient Norm: 3.7862550955299366	 Loss: 0.22197937965393066
Parameter Norm: 44.17166063929633	 Gradient Norm: 4.123404410811963	 Loss: 0.1900937259197235
Parameter Norm: 44.1741699412844	 Gradient Norm: 3.4313153541800694	 Loss: 0.19281481206417084
Parameter Norm: 44.176644960073794	 Gradient Norm: 5.038749479473531	 Loss: 0.199390709400177
Parameter Norm: 44.17918158199686	 Gradient Norm: 4.5372636312609265	 Loss: 0.20796088874340057
Parameter Norm: 44.18142994742059	 Gradient Norm: 3.3302719898267292	 Loss: 0.18202537298202515
Parameter Norm: 44.18348823735249	 Gradient Norm: 2.199189101071956	 Loss: 0.17006851732730865
Parameter Norm: 44.18556907149021	 Gradient Norm: 2.5126670320779434	 Loss: 0.1813342422246933
Parameter Norm: 44.1876414782692	 Gradient Norm: 2.8039022365975512	 Loss: 0.15995913743972778
Parameter Norm: 44.18965614460099	 Gradient Norm: 1.6909959293584302	 Loss: 0.16489985585212708
Parameter Norm: 44.19167114753261	 Gradient Norm: 1.3432745850754548	 Loss: 0.17450760304927826
Parameter Norm: 44.19368189259703	 Gradient Norm: 2.253314763436043	 Loss: 0.177395299077034
Parameter Norm: 44.19573195007935	 Gradient Norm: 1.2530171578579408	 Loss: 0.15468840301036835
Parameter Norm: 44.19779500481701	 Gradient Norm: 2.417525756144535	 Loss: 0.15169040858745575
Parameter Norm: 44.199851505667404	 Gradient Norm: 2.4575806892323464	 Loss: 0.14480143785476685
Parameter Norm: 44.201979268765065	 Gradient Norm: 5.488015610498008	 Loss: 0.15178847312927246
Parameter Norm: 44.20420242485769	 Gradient Norm: 3.2474676278597	 Loss: 0.14361435174942017
Parameter Norm: 44.20619436698164	 Gradient Norm: 3.579569390918788	 Loss: 0.14512674510478973
Parameter Norm: 44.2079711634623	 Gradient Norm: 1.2654992281543698	 Loss: 0.15886318683624268
Parameter Norm: 44.20973683062944	 Gradient Norm: 2.70163516440104	 Loss: 0.1540297567844391
Parameter Norm: 44.21161499683903	 Gradient Norm: 7.007177616899759	 Loss: 0.12702569365501404
Parameter Norm: 44.21366654874478	 Gradient Norm: 5.842855383872218	 Loss: 0.1559797078371048
Parameter Norm: 44.21542945644343	 Gradient Norm: 1.2273226871725607	 Loss: 0.14723482728004456
Parameter Norm: 44.217122764574235	 Gradient Norm: 1.0493805258117421	 Loss: 0.13565035164356232
Parameter Norm: 44.21881499088754	 Gradient Norm: 3.3709889514959346	 Loss: 0.13452918827533722
Parameter Norm: 44.22043462710254	 Gradient Norm: 0.7736400277231722	 Loss: 0.14273066818714142
Parameter Norm: 44.22203619131159	 Gradient Norm: 8.957849355663079	 Loss: 0.13956570625305176
Parameter Norm: 44.22386459780895	 Gradient Norm: 5.014516670941917	 Loss: 0.12284502387046814
Parameter Norm: 44.22573883865465	 Gradient Norm: 9.778053710102228	 Loss: 0.13685578107833862
Parameter Norm: 44.2271846149761	 Gradient Norm: 9.999996295434139	 Loss: 0.15708515048027039
Parameter Norm: 44.22818219721684	 Gradient Norm: 1.0811079096330682	 Loss: 0.13208569586277008
Parameter Norm: 44.22927319750941	 Gradient Norm: 5.4974724355391675	 Loss: 0.16376639902591705
Parameter Norm: 44.23049236455731	 Gradient Norm: 10.000002987992191	 Loss: 0.1416049301624298
Parameter Norm: 44.23193681328839	 Gradient Norm: 2.17605392109261	 Loss: 0.13218235969543457
Parameter Norm: 44.23344546059612	 Gradient Norm: 1.761888418034274	 Loss: 0.11593078076839447
Parameter Norm: 44.234984060847715	 Gradient Norm: 9.999997835527914	 Loss: 0.18793979287147522
Parameter Norm: 44.236080868397856	 Gradient Norm: 9.999997274131758	 Loss: 0.17465709149837494
Parameter Norm: 44.23679948388996	 Gradient Norm: 1.3333447307999498	 Loss: 0.13448119163513184
Parameter Norm: 44.23757060218286	 Gradient Norm: 9.999999255463631	 Loss: 0.1313028484582901
Parameter Norm: 44.238593996929204	 Gradient Norm: 9.999998190312649	 Loss: 0.13218556344509125
Parameter Norm: 44.23984793739536	 Gradient Norm: 5.80627687656334	 Loss: 0.1452966034412384
Parameter Norm: 44.24098942467738	 Gradient Norm: 3.089262972181073	 Loss: 0.14131544530391693
Parameter Norm: 44.24196451940297	 Gradient Norm: 5.982465233287672	 Loss: 0.10539691150188446
Parameter Norm: 44.242763253573514	 Gradient Norm: 7.6366435361913085	 Loss: 0.1467818021774292
Parameter Norm: 44.24374833913317	 Gradient Norm: 8.858866788415567	 Loss: 0.13578085601329803
Parameter Norm: 44.24451539901631	 Gradient Norm: 2.705593363709212	 Loss: 0.12778905034065247
Parameter Norm: 44.245427955875236	 Gradient Norm: 1.9219711652578693	 Loss: 0.12075761705636978
Parameter Norm: 44.24656043313327	 Gradient Norm: 5.5635804023052975	 Loss: 0.14613188803195953
Parameter Norm: 44.247909282566255	 Gradient Norm: 2.715193781962733	 Loss: 0.1473112851381302
Parameter Norm: 44.24939084150437	 Gradient Norm: 2.1660872959949007	 Loss: 0.13382604718208313
Parameter Norm: 44.25089388553933	 Gradient Norm: 9.999997551252578	 Loss: 0.15701590478420258
Parameter Norm: 44.252110567049925	 Gradient Norm: 4.590663779978656	 Loss: 0.14906302094459534
Parameter Norm: 44.25328084419272	 Gradient Norm: 7.571607586491034	 Loss: 0.12583139538764954
Parameter Norm: 44.2546522798383	 Gradient Norm: 9.999998708478946	 Loss: 0.13820388913154602
Parameter Norm: 44.25629088089412	 Gradient Norm: 8.255131299405043	 Loss: 0.1640406847000122
Parameter Norm: 44.25778991937208	 Gradient Norm: 1.750267409378185	 Loss: 0.132341668009758
Parameter Norm: 44.25922623338967	 Gradient Norm: 2.8294919386489767	 Loss: 0.1214376911520958
Parameter Norm: 44.26061497347434	 Gradient Norm: 3.9730050791410676	 Loss: 0.11872100085020065
Parameter Norm: 44.26195269895125	 Gradient Norm: 8.653737930957236	 Loss: 0.13089171051979065
Parameter Norm: 44.26345029353394	 Gradient Norm: 7.815172278114458	 Loss: 0.10293231904506683
Epoch 1: Training Loss 0.06568008932616673
Epoch 1: Validation Loss 0.052364631785766134
Parameter Norm: 44.26505332778564	 Gradient Norm: 9.070997837085473	 Loss: 0.12670813500881195
Parameter Norm: 44.266362075194216	 Gradient Norm: 9.99999474637457	 Loss: 0.14860433340072632
Parameter Norm: 44.267337182500356	 Gradient Norm: 9.00999301818446	 Loss: 0.12245874851942062
Parameter Norm: 44.26819699034209	 Gradient Norm: 9.99999924999389	 Loss: 0.1482948213815689
Parameter Norm: 44.26920360966349	 Gradient Norm: 9.999997449950493	 Loss: 0.15140651166439056
Parameter Norm: 44.27031871597192	 Gradient Norm: 9.999995961727873	 Loss: 0.14917299151420593
Parameter Norm: 44.27153407493447	 Gradient Norm: 8.122425792244812	 Loss: 0.10530135035514832
Parameter Norm: 44.27287453769019	 Gradient Norm: 10.000001025429002	 Loss: 0.1362771987915039
Parameter Norm: 44.27384725378574	 Gradient Norm: 9.999999091425861	 Loss: 0.1533765196800232
Parameter Norm: 44.27448896462149	 Gradient Norm: 10.000000807821955	 Loss: 0.14559298753738403
Parameter Norm: 44.274801702873866	 Gradient Norm: 7.804150832509419	 Loss: 0.1061180830001831
Parameter Norm: 44.27505749752621	 Gradient Norm: 9.999996960698653	 Loss: 0.11869482696056366
Parameter Norm: 44.2755855397434	 Gradient Norm: 10.00000180260188	 Loss: 0.13449549674987793
Parameter Norm: 44.27633388965982	 Gradient Norm: 9.999996749328547	 Loss: 0.1224236860871315
Parameter Norm: 44.2772249046201	 Gradient Norm: 4.898308967081723	 Loss: 0.1331336498260498
Parameter Norm: 44.278219113562415	 Gradient Norm: 9.999999159942256	 Loss: 0.13215215504169464
Parameter Norm: 44.27892774730003	 Gradient Norm: 9.999996785460645	 Loss: 0.1257106214761734
Parameter Norm: 44.27933484257814	 Gradient Norm: 10.000000400892267	 Loss: 0.133386492729187
Parameter Norm: 44.279507493077126	 Gradient Norm: 1.8139825261233755	 Loss: 0.10598122328519821
Parameter Norm: 44.279784707045536	 Gradient Norm: 8.077632880709436	 Loss: 0.1131305918097496
Parameter Norm: 44.280343455643724	 Gradient Norm: 9.999994359443606	 Loss: 0.11784487217664719
Parameter Norm: 44.281082684765515	 Gradient Norm: 2.4482883844890946	 Loss: 0.11425111442804337
Parameter Norm: 44.28182654618918	 Gradient Norm: 10.000002496147028	 Loss: 0.1116880401968956
Parameter Norm: 44.28233258498372	 Gradient Norm: 1.141589371107171	 Loss: 0.1310877650976181
Parameter Norm: 44.28288083551821	 Gradient Norm: 1.5780888022981752	 Loss: 0.13650551438331604
Parameter Norm: 44.28346994913738	 Gradient Norm: 10.000001093610498	 Loss: 0.11240997910499573
Parameter Norm: 44.284244727379466	 Gradient Norm: 9.99999551130853	 Loss: 0.10450815409421921
Parameter Norm: 44.285189634846866	 Gradient Norm: 6.694815365531158	 Loss: 0.12129443883895874
Parameter Norm: 44.285950382376676	 Gradient Norm: 9.999999365518029	 Loss: 0.11494855582714081
Parameter Norm: 44.28642298675219	 Gradient Norm: 10.000002050087092	 Loss: 0.10754144191741943
Parameter Norm: 44.28671758765899	 Gradient Norm: 2.6952893186843307	 Loss: 0.1071622222661972
Parameter Norm: 44.28707530735058	 Gradient Norm: 9.999999377341817	 Loss: 0.13951769471168518
Parameter Norm: 44.28761786942501	 Gradient Norm: 9.999998623395355	 Loss: 0.1399945765733719
Parameter Norm: 44.28832386015954	 Gradient Norm: 9.999997723066524	 Loss: 0.12281650304794312
Parameter Norm: 44.28920266158546	 Gradient Norm: 4.2539168984195515	 Loss: 0.13609234988689423
Parameter Norm: 44.2899968251229	 Gradient Norm: 9.999997322809058	 Loss: 0.134964257478714
Parameter Norm: 44.29053574561819	 Gradient Norm: 8.108991331200318	 Loss: 0.10202500224113464
Parameter Norm: 44.29090674447642	 Gradient Norm: 9.05084062846905	 Loss: 0.13322901725769043
Parameter Norm: 44.291189157957646	 Gradient Norm: 9.999997255927681	 Loss: 0.12138991057872772
Parameter Norm: 44.2916897327861	 Gradient Norm: 10.000005170000387	 Loss: 0.1257471889257431
Parameter Norm: 44.29229948309943	 Gradient Norm: 10.000000056679596	 Loss: 0.13259325921535492
Parameter Norm: 44.29308585330364	 Gradient Norm: 5.71541535959865	 Loss: 0.10458351671695709
Parameter Norm: 44.29381469979083	 Gradient Norm: 8.03188969201199	 Loss: 0.10998103022575378
Parameter Norm: 44.29473819117958	 Gradient Norm: 9.999998211160571	 Loss: 0.11090777814388275
Parameter Norm: 44.295567696654565	 Gradient Norm: 9.999996485419343	 Loss: 0.13211625814437866
Parameter Norm: 44.29629973630312	 Gradient Norm: 10.000001990850603	 Loss: 0.12285716086626053
Parameter Norm: 44.29694165829341	 Gradient Norm: 10.000000121463497	 Loss: 0.12056898325681686
Parameter Norm: 44.29786418057137	 Gradient Norm: 10.00000055517169	 Loss: 0.15711557865142822
Parameter Norm: 44.29896661319491	 Gradient Norm: 9.999997095904305	 Loss: 0.15819041430950165
Parameter Norm: 44.30019166714221	 Gradient Norm: 8.160741922309828	 Loss: 0.14025245606899261
Parameter Norm: 44.30161590719275	 Gradient Norm: 9.999999356844995	 Loss: 0.13087095320224762
Parameter Norm: 44.302864847441526	 Gradient Norm: 9.999998135733486	 Loss: 0.11049403995275497
Parameter Norm: 44.30386550347094	 Gradient Norm: 10.00000358584035	 Loss: 0.12339890748262405
Parameter Norm: 44.30473642632233	 Gradient Norm: 2.283503297252115	 Loss: 0.11150020360946655
Parameter Norm: 44.30568281229908	 Gradient Norm: 9.999999649921534	 Loss: 0.14537711441516876
Parameter Norm: 44.30672606321878	 Gradient Norm: 10.000000043576692	 Loss: 0.1300097405910492
Parameter Norm: 44.30783479500387	 Gradient Norm: 10.000001379401905	 Loss: 0.12564951181411743
Parameter Norm: 44.30908294103608	 Gradient Norm: 10.00000189899699	 Loss: 0.11536408215761185
Parameter Norm: 44.31009750627622	 Gradient Norm: 9.999998440992027	 Loss: 0.11467030644416809
Parameter Norm: 44.31087009440996	 Gradient Norm: 4.926128013428489	 Loss: 0.11649166792631149
Parameter Norm: 44.311598688669775	 Gradient Norm: 4.625150526955094	 Loss: 0.1278282254934311
Parameter Norm: 44.31245975335875	 Gradient Norm: 9.094032486637627	 Loss: 0.11560077220201492
Parameter Norm: 44.31350584484578	 Gradient Norm: 9.999997141976342	 Loss: 0.0983247384428978
Parameter Norm: 44.31470831321446	 Gradient Norm: 9.999999202020867	 Loss: 0.11398982256650925
Parameter Norm: 44.31565351290501	 Gradient Norm: 9.999998971238835	 Loss: 0.12121409177780151
Parameter Norm: 44.316334889151484	 Gradient Norm: 9.999999016399954	 Loss: 0.09982988983392715
Parameter Norm: 44.316837123752364	 Gradient Norm: 5.3991265154422114	 Loss: 0.12779827415943146
Parameter Norm: 44.31750690320376	 Gradient Norm: 9.999998565784244	 Loss: 0.11563427746295929
Parameter Norm: 44.31836145484562	 Gradient Norm: 10.000001011389589	 Loss: 0.12273310869932175
Parameter Norm: 44.31935386914573	 Gradient Norm: 7.703795068985681	 Loss: 0.12523749470710754
Parameter Norm: 44.32055084130236	 Gradient Norm: 10.000000985966766	 Loss: 0.11035764217376709
Parameter Norm: 44.321474683324	 Gradient Norm: 10.000000852690627	 Loss: 0.13447904586791992
Parameter Norm: 44.32210893545688	 Gradient Norm: 10.000001990637543	 Loss: 0.10119067877531052
Parameter Norm: 44.32249045213106	 Gradient Norm: 1.2022059244019268	 Loss: 0.10151702910661697
Parameter Norm: 44.32289027232678	 Gradient Norm: 4.165910053203165	 Loss: 0.11078613996505737
Parameter Norm: 44.32341434180467	 Gradient Norm: 9.999999783481222	 Loss: 0.09338010847568512
Parameter Norm: 44.3241175854747	 Gradient Norm: 10.000001341715125	 Loss: 0.08845358341932297
Parameter Norm: 44.324944069983964	 Gradient Norm: 3.3781189216282805	 Loss: 0.10958594083786011
Parameter Norm: 44.32579810347417	 Gradient Norm: 9.999996846974279	 Loss: 0.12319444119930267
Parameter Norm: 44.326374120452186	 Gradient Norm: 9.999997481267942	 Loss: 0.12991371750831604
Parameter Norm: 44.32672837526016	 Gradient Norm: 9.999997985014579	 Loss: 0.08707188814878464
Parameter Norm: 44.3269133513795	 Gradient Norm: 2.869010266867131	 Loss: 0.1126372441649437
Parameter Norm: 44.32716504400478	 Gradient Norm: 10.000000231991987	 Loss: 0.11211837083101273
Parameter Norm: 44.32758715577942	 Gradient Norm: 10.000002230719195	 Loss: 0.14568157494068146
Parameter Norm: 44.32812445140083	 Gradient Norm: 9.999999309304865	 Loss: 0.124819315969944
Parameter Norm: 44.32878173507384	 Gradient Norm: 5.550467210908997	 Loss: 0.10180357843637466
Parameter Norm: 44.32948336926751	 Gradient Norm: 7.628333786784072	 Loss: 0.1103425920009613
Parameter Norm: 44.33013406860928	 Gradient Norm: 10.000001740949042	 Loss: 0.10082454979419708
Parameter Norm: 44.33060577958887	 Gradient Norm: 3.748754037030529	 Loss: 0.11527585238218307
Parameter Norm: 44.331163860653184	 Gradient Norm: 9.999999672993384	 Loss: 0.10611651092767715
Parameter Norm: 44.33187518735045	 Gradient Norm: 4.194387210028232	 Loss: 0.1054549589753151
Parameter Norm: 44.33249143803958	 Gradient Norm: 3.1969282825549854	 Loss: 0.10142438858747482
Parameter Norm: 44.33302181593492	 Gradient Norm: 10.00000151597401	 Loss: 0.10931813716888428
Parameter Norm: 44.333680118615945	 Gradient Norm: 9.999999655854948	 Loss: 0.10231956094503403
Parameter Norm: 44.334158126594666	 Gradient Norm: 5.972978991775487	 Loss: 0.1104494258761406
Parameter Norm: 44.334750800800244	 Gradient Norm: 2.8513376255133576	 Loss: 0.09491074830293655
Parameter Norm: 44.33541735353935	 Gradient Norm: 8.948213463785395	 Loss: 0.09840507060289383
Parameter Norm: 44.33622818281663	 Gradient Norm: 10.000000854895925	 Loss: 0.13641583919525146
Parameter Norm: 44.33678550595431	 Gradient Norm: 10.000000322414103	 Loss: 0.10944027453660965
Parameter Norm: 44.33712092311285	 Gradient Norm: 9.999999559221758	 Loss: 0.1111091822385788
Parameter Norm: 44.337215975131166	 Gradient Norm: 1.7623610000541292	 Loss: 0.10992242395877838
Parameter Norm: 44.33750302573032	 Gradient Norm: 9.999997477632252	 Loss: 0.10922818630933762
Parameter Norm: 44.33806719309377	 Gradient Norm: 9.99999961505708	 Loss: 0.12940455973148346
Parameter Norm: 44.33874932289738	 Gradient Norm: 10.000000304070587	 Loss: 0.11049874871969223
Parameter Norm: 44.33957485500986	 Gradient Norm: 2.6767056723541263	 Loss: 0.09039147943258286
Parameter Norm: 44.34038456487072	 Gradient Norm: 10.000003464323909	 Loss: 0.11418948322534561
Epoch 2: Training Loss 0.043399363388461405
Epoch 2: Validation Loss 0.04251683814644673
Parameter Norm: 44.34090473379136	 Gradient Norm: 9.999997970301926	 Loss: 0.11048173904418945
Parameter Norm: 44.34119171540649	 Gradient Norm: 10.000000824825175	 Loss: 0.11239387094974518
Parameter Norm: 44.34129766387518	 Gradient Norm: 4.31560441509395	 Loss: 0.11104664206504822
Parameter Norm: 44.341363273642415	 Gradient Norm: 9.999999122123642	 Loss: 0.11126447468996048
Parameter Norm: 44.34157861217287	 Gradient Norm: 9.999997317629	 Loss: 0.10830716788768768
Parameter Norm: 44.3418969554019	 Gradient Norm: 10.000002525291102	 Loss: 0.10068421810865402
Parameter Norm: 44.34232959510333	 Gradient Norm: 9.999998644072123	 Loss: 0.11917435377836227
Parameter Norm: 44.34265354787206	 Gradient Norm: 9.532957999865085	 Loss: 0.11151809990406036
Parameter Norm: 44.34284562161158	 Gradient Norm: 9.999999539416125	 Loss: 0.09774371981620789
Parameter Norm: 44.34326146137354	 Gradient Norm: 6.930988002917595	 Loss: 0.09221005439758301
Parameter Norm: 44.343650931375436	 Gradient Norm: 9.999996585000236	 Loss: 0.12315408140420914
Parameter Norm: 44.34399365981681	 Gradient Norm: 9.999993006730262	 Loss: 0.08243349939584732
Parameter Norm: 44.34446174752418	 Gradient Norm: 10.000000350344893	 Loss: 0.11066125333309174
Parameter Norm: 44.34501632596595	 Gradient Norm: 9.999999175933269	 Loss: 0.11571262776851654
Parameter Norm: 44.34567760678224	 Gradient Norm: 8.871013400837345	 Loss: 0.10945242643356323
Parameter Norm: 44.34613151334438	 Gradient Norm: 10.000001096641617	 Loss: 0.10416597872972488
Parameter Norm: 44.346402468734496	 Gradient Norm: 9.999999735590867	 Loss: 0.09029737114906311
Parameter Norm: 44.34653281211463	 Gradient Norm: 9.999997799993524	 Loss: 0.1012306734919548
Parameter Norm: 44.34690016645444	 Gradient Norm: 8.870907745181372	 Loss: 0.10741125047206879
Parameter Norm: 44.34745546990802	 Gradient Norm: 2.2881605453185734	 Loss: 0.10352040082216263
Parameter Norm: 44.34803993858737	 Gradient Norm: 7.43547499948708	 Loss: 0.09624353051185608
Parameter Norm: 44.348539784657696	 Gradient Norm: 2.3753682872952906	 Loss: 0.10516113042831421
Parameter Norm: 44.34901912844667	 Gradient Norm: 5.304003261883815	 Loss: 0.10333710163831711
Parameter Norm: 44.34961357081163	 Gradient Norm: 7.8836643298404585	 Loss: 0.08440479636192322
Parameter Norm: 44.350403577193624	 Gradient Norm: 9.999999367690597	 Loss: 0.09369472414255142
Parameter Norm: 44.35105524373266	 Gradient Norm: 4.237036073397944	 Loss: 0.09516880661249161
Parameter Norm: 44.35163046751549	 Gradient Norm: 6.1459180057079665	 Loss: 0.10558199882507324
Parameter Norm: 44.35225360002238	 Gradient Norm: 2.5556464548741373	 Loss: 0.09857047349214554
Parameter Norm: 44.352913332428905	 Gradient Norm: 9.99999696186967	 Loss: 0.10552189499139786
Parameter Norm: 44.35376674033365	 Gradient Norm: 9.00041168782754	 Loss: 0.0875181257724762
Parameter Norm: 44.354564798135996	 Gradient Norm: 1.115008182759595	 Loss: 0.11270198971033096
Parameter Norm: 44.35541696248134	 Gradient Norm: 6.402593109499807	 Loss: 0.10164762288331985
Parameter Norm: 44.35636183374563	 Gradient Norm: 10.0000023499112	 Loss: 0.1032453179359436
Parameter Norm: 44.35714921501865	 Gradient Norm: 0.717044530902917	 Loss: 0.09242012351751328
Parameter Norm: 44.35792316294355	 Gradient Norm: 8.460327891699825	 Loss: 0.1152210459113121
Parameter Norm: 44.358638261869466	 Gradient Norm: 10.000002194018762	 Loss: 0.10706966370344162
Parameter Norm: 44.35944944608635	 Gradient Norm: 10.000000154447443	 Loss: 0.10876388847827911
Parameter Norm: 44.36036163704227	 Gradient Norm: 9.276593012882193	 Loss: 0.09873252362012863
Parameter Norm: 44.36139421499245	 Gradient Norm: 8.509151230638745	 Loss: 0.08273164927959442
Parameter Norm: 44.36223659039974	 Gradient Norm: 9.999998836469524	 Loss: 0.09693709015846252
Parameter Norm: 44.36286681512971	 Gradient Norm: 9.999999532368145	 Loss: 0.09628999978303909
Parameter Norm: 44.363289666944354	 Gradient Norm: 1.7060195860543466	 Loss: 0.07967668026685715
Parameter Norm: 44.36374692559483	 Gradient Norm: 9.999997527143908	 Loss: 0.0843607485294342
Parameter Norm: 44.364326641099645	 Gradient Norm: 9.999999078581125	 Loss: 0.10509052872657776
Parameter Norm: 44.365010917790386	 Gradient Norm: 9.999996671252266	 Loss: 0.10260246694087982
Parameter Norm: 44.36555360094449	 Gradient Norm: 7.891218374873732	 Loss: 0.08907238394021988
Parameter Norm: 44.36621921509675	 Gradient Norm: 1.9740321304510826	 Loss: 0.07729731500148773
